gene	gene_length
DNAJC8	9
ATP5IF1	3
C1orf94	7
DNAJC6	19
ROR1	9
PADI4	16
PER3	22
TSSK3	2
OMA1	9
GFI1	7
KLHL12	12
GLMN	19
AC119674.2	6
ARL8A	7
RNPEP	11
CPT2	5
PHLDA3	2
E2F2	7
ANKRD35	14
TEX38	2
NSUN4	6
RGS2	5
UQCRH	4
NBPF26	30
AL445685.3	7
DLGAP3	12
GJB3	2
CDC42	6
AL080251.1	6
IFFO2	9
PKN2	22
C1orf53	3
SHISAL2A	3
CRB1	12
WNT2B	5
OVGP1	11
B3GALT2	2
C1orf141	8
TUT4	10
PRPF38A	10
KNCN	4
UCHL5	11
CNR2	2
REG4	7
INSL5	2
GALE	12
GBP3	11
WNT4	5
TAS1R1	6
EIF4G3	35
TNFRSF25	10
ZFYVE9	19
KDM1A	21
GBP7	11
MMEL1	24
PTP4A2	6
PRAMEF19	3
TARDBP	6
DNAJC11	16
SMIM1	4
AC114490.2	3
CACHD1	27
VWA1	3
USP48	27
CCDC27	12
TP73	14
DMRTB1	4
RIMKLA	5
USP24	68
ELOA	11
PHTF1	19
DHCR24	9
POLR3GL	8
CTPS1	19
TMIGD3	6
GBP2	11
EPHB2	17
C1QA	3
KCNC4	4
FNDC10	1
PPP1R8	7
TMEM88B	2
SLC45A1	9
TNFRSF9	9
VAMP3	5
DVL1	15
ITGA10	30
DDX59	8
IL23R	11
MYOM3	37
RGS18	5
CC2D1B	24
KCNA3	1
CELA3A	8
MIB2	20
TNFRSF8	15
ZNF436	4
HNRNPR	11
CDK11B	20
SLC6A17	12
IGSF21	10
EYA3	18
XKR8	3
PPIAL4D	1
HTR1D	1
RAB3B	5
PROK1	3
GBP5	11
GBP4	11
KLHDC7A	1
ATAD3B	16
PRAMEF18	3
SRM	8
AADACL4	4
ACTL8	3
THEMIS2	6
HNRNPCL1	2
LCK	13
ORC1	17
FAM167B	2
PRAMEF15	4
NBPF3	15
MFN2	19
AL109811.4	6
PEX14	6
KIF1B	47
KCNT2	28
SFPQ	10
LUZP1	5
TXLNA	10
ZMYM6	16
LEPROT	20
TAS1R2	6
RERE	24
PRAMEF27	4
PADI3	16
PRAMEF25	4
C1QB	3
C1QC	3
ATAD3C	12
NPPB	3
CENPS	5
PTAFR	2
RBMXL1	14
LEPR	20
PAX7	8
PRAMEF20	4
HNRNPCL2	2
CROCC	15
PRAMEF17	3
ATAD3A	16
PRAMEF5	4
RCC2	13
DHRS3	6
TPRG1L	5
PRXL2B	24
PRAMEF7	4
MEGF6	37
SPATA21	4
ARHGEF16	15
PGD	13
SMPDL3B	8
RPA2	9
C1orf158	4
NBPF1	29
PRDM16	17
CENPS-CORT	5
EPHA2	17
ESPN	13
ARHGEF19	16
PLEKHG5	10
AL031281.2	6
UBE2U	9
PRAMEF9	4
ANKRD65	4
PADI6	16
PRAMEF6	4
PRAMEF2	4
PADI1	16
PRAMEF11	4
PRAMEF1	4
PRAMEF12	3
FBXO42	10
NOL9	12
CASZ1	21
C1orf127	13
MASP2	11
CPTP	3
NECAP2	7
TNFRSF1B	10
DFFA	6
KIAA2013	3
ECE1	19
MRPL20	4
STX12	9
MXRA8	10
SZRD1	4
ZBTB48	11
MIIP	10
CPLANE2	5
STAMBPL1	11
CYP2C8	9
FAS	9
COL17A1	56
STN1	10
CALHM2	4
VPS26A	10
HTRA1	9
TAF5	11
MSRB2	5
CSGALNACT2	8
GOLGA7B	5
AL355315.1	7
HMX3	2
MARCH8	8
PDCD4	12
OR13A1	4
AP3M1	9
AC067752.1	7
GFRA1	11
DIP2C	37
TBC1D12	13
MINPP1	5
UNC5B	17
PCBD1	4
IKZF5	5
TACR2	5
ZNF33B	5
TMEM26	6
RASGEF1A	13
RET	20
ATAD1	10
C10orf105	2
NEBL	28
WDFY4	62
PDSS1	12
RGS10	5
DKK1	4
PRKG1	18
TNKS2	27
UPF2	21
SFXN4	14
ACSM6	11
ADAMTS14	22
KIF1BP	7
SYT15	8
LOXL4	15
CCDC172	9
LIPJ	11
RNLS	7
CDH23	32
CUZD1	11
PTEN	9
MTRNR2L7	1
INA	3
GSTO1	6
LIPN	9
FAM24B	4
HKDC1	18
PDCD11	36
OTUD1	1
NODAL	3
EIF4EBP2	3
NHLRC2	11
FAM25A	3
SNCG	5
ADIRF	3
ATE1	12
MMRN2	7
CASP7	7
PPA1	11
DDX21	15
PDE6C	22
FRA10AC1	14
NSMCE4A	11
NPFFR1	4
ANKRD30A	36
LIPF	11
NOC3L	21
RHOBTB1	11
SLK	19
FAM160B1	17
PDLIM1	7
AL583836.1	9
CYP2C18	9
CYP2C19	9
LIPK	9
CABCOCO1	7
KIN	13
STOX1	4
NPY4R	3
LRIT2	4
COMMD3	8
HOGA1	7
CASC10	2
ZNF37A	7
TUBB8	4
CNNM1	11
ATP5F1C	10
CFAP43	38
SFR1	4
ACTA2	9
ZNF365	7
LARP4B	18
GSTO2	7
PNLIPRP3	12
TRUB1	8
HNRNPF	3
CYP2C9	9
ATRNL1	29
ZMYND11	15
MMP21	7
ITPRIP	3
CHUK	21
ZDHHC16	12
TSPAN14	9
LRRC18	2
APBB1IP	15
KCNIP2	10
FRMPD2	29
SLC39A12	13
SGMS1	11
SEC24C	24
ECHDC3	5
PNLIP	13
ANKRD22	6
LIPM	9
ARID5B	10
CDK1	8
CALHM1	2
GPRIN2	3
PLEKHS1	12
BTBD16	16
LRRC20	5
DCLRE1A	9
SORCS1	26
PAPSS2	13
PLEKHA1	12
CEP55	9
WAPL	19
C1QL3	2
ANXA8L1	12
OAT	10
CCDC7	18
SH3PXD2A	14
VSIR	7
SLC29A3	6
VWA2	14
PLCE1	32
TDRD1	26
SLC35G1	3
MPP7	18
AGAP6	8
FANK1	11
BCCIP	8
UTF1	2
C10orf120	3
ABLIM1	23
SGPL1	15
NUTM2A	7
EDRF1	25
CNNM2	8
GJD4	2
NT5C2	18
RBP4	6
FFAR4	4
SORCS3	27
CFAP58	18
FXYD4	8
PSTK	7
FAM24A	3
BMS1	23
CALHM3	3
KCNMA1	28
C10orf88	6
HK1	21
NEURL1	6
CCDC186	17
GLUD1	13
SHLD2	13
PALD1	20
PARD3	25
PTF1A	2
PCGF6	10
C10orf67	5
SLC16A9	6
HELLS	13
ARMS2	2
CCDC6	9
OPN4	11
GOT1	9
RSU1	8
H2AFY2	9
AIFM2	9
LDB3	14
PTER	6
GRID1	16
CTBP2	9
AL117339.5	7
ADRB1	1
RTKN2	12
ZRANB1	9
CCAR1	25
RGR	7
WNT8B	6
CUL2	21
ZFAND4	10
DMBT1	53
PRF1	3
ZNF25	6
BMPR1A	13
ABRAXAS2	9
PAX2	11
PLPP4	7
PRXL2A	6
ARHGAP22	10
DCLRE1C	6
TET1	12
ANKRD16	8
MYPN	20
NUTM2B	7
P4HA1	15
MXI1	6
FRG2B	4
LRMDA	7
CHCHD1	3
ATOH7	1
NDST2	15
HNRNPH3	10
AC022400.6	26
ZSWIM8	26
RUFY2	10
SUFU	12
PBLD	10
CALML3	1
TUBGCP2	19
ARHGAP19-SLIT1	37
DLG5	32
GPAM	22
KIAA1217	21
PHYHIPL	5
NRG3	9
SH2D4B	7
MORN4	5
JCAD	4
CCNY	10
HPS1	20
CPXM2	14
UBE2D1	7
COL13A1	40
IDE	25
CAMK2G	21
CPEB3	10
SRGN	3
LGI1	8
RPEL1	1
NKX1-2	2
SCD	6
SFRP5	3
ITIH5	10
AGAP4	7
IPMK	6
TBATA	11
ARMC3	19
CHST15	8
CAMK1D	11
FGFR2	18
CRTAC1	5
GHITM	9
ZFYVE27	13
CREM	8
ACBD7	4
ABCC2	32
ZNF32	3
SMNDC1	6
SLC16A12	8
ACBD5	13
PPP2R2D	9
AL365273.2	7
SPRN	2
ADARB2	10
CALY	6
LRRTM3	3
ARHGAP19	15
SHTN1	14
TWNK	5
AL157392.5	10
TEX36	4
HPSE2	12
EEF1AKMT2	7
FAM171A1	8
CDHR1	17
BUB3	8
ANKRD2	9
OLAH	9
ACADSB	11
PIK3AP1	17
PCDH15	35
EXOC6	22
AFAP1L2	19
ZNF248	6
ANK3	44
PIP4K2A	10
KIF5B	26
MSS51	7
MAT1A	9
OGA	16
SUPV3L1	15
ZNF33A	6
TYSND1	4
ITGB1	16
FAM13C	5
ITGA8	30
LHPP	7
AC068896.1	5
MSMB	4
TIMM23	7
YME1L1	20
ZNF22	2
ANKRD26	34
ARHGAP12	20
HHEX	4
WDR11	29
PLAU	4
RBM20	14
C10orf55	4
NEUROG3	2
AL133353.2	13
TLL2	21
NKX2-3	2
BORCS7-ASMT	5
DDX50	15
FAM53B	5
OPTN	16
EBLN1	1
PKD2L1	16
SFMBT2	21
CWF19L1	14
RPP38	12
SAR1A	8
CUBN	67
MCM10	20
C10orf99	3
EPC1	15
MTPAP	9
TMEM72	5
DEPP1	11
AKR1C2	9
SLC25A28	4
OPALIN	6
HECTD2	22
FZD8	1
NRP1	18
PHYH	9
UCMA	5
BICC1	21
PYROXD2	16
NDUFB8	5
HIF1AN	5
SEC31B	26
AL133352.1	26
AVPI1	3
BLOC1S2	5
MTRNR2L5	1
MARVELD1	2
MYOF	54
SEC23IP	19
SPAG6	11
ANTXRL	17
TFAM	7
LRIT1	4
GPR26	3
ZWINT	9
PFKFB3	15
ALOX5	14
NSUN6	11
CACNB2	14
HSPA14	14
PRLHR	2
GDF2	2
SFXN3	12
KAT6B	18
TACC2	23
CISD1	3
NCOA4	12
MASTL	12
SFTPA2	6
CCNJ	6
MFSD13A	10
SIRT1	9
PRPF18	10
CCSER2	10
MEIG1	3
ANXA7	14
TSPAN15	8
TM9SF3	15
SUV39H2	6
RBM17	12
CUTC	13
ENTPD7	13
FBXW4	9
ASAH2B	6
EIF5AL1	1
PWWP2B	3
MINDY3	15
ITIH2	21
COMMD3-BMI1	8
BMI1	10
DNAJC1	12
KIF11	22
SVIL	38
LYZL1	5
PLXDC2	14
NRAP	13
SYNPO2L	4
ADD3	15
PDZD8	5
KCNK18	3
WDR37	14
ANAPC16	5
SLC18A3	1
LCOR	8
TAF3	7
IFIT3	2
AKR1C3	9
CH25H	1
ERCC6	21
ARMH3	26
SHOC2	9
MLLT10	23
UBTD1	3
PPP3CB	14
BTRC	15
C10orf90	9
OGDHL	23
DUPD1	3
ENO4	14
HSPA12A	13
TCERG1L	12
SORBS1	33
LDB1	11
ZEB1	9
TMEM254	4
CSTF2T	1
PCGF5	10
MRPS16	3
OIT3	9
DPCD	9
ZCCHC24	4
COMTD1	7
TCF7L2	14
FAM107B	5
MCMBP	16
VSTM4	8
BTAF1	38
SLC25A16	9
FBH1	22
R3HCC1L	9
CCDC3	3
MMS19	31
PI4K2A	9
CYP26C1	6
TIAL1	12
NPM3	6
CDNF	4
FAM25C	3
USP6NL	14
GRK5	16
MAPK8	12
EXOSC1	8
KLF6	4
SFTPD	8
ARL3	6
CFAP70	28
NUDT13	9
TRIM8	6
MYO3A	35
EIF3A	22
STAM	14
CYP26A1	7
ERLIN1	11
USP54	23
INPP5F	20
COX15	9
NUDT5	10
RPP30	13
ENTPD1	10
SLC18A2	16
DPYSL4	14
JAKMIP3	24
SLIT1	37
ADAM8	23
AKR1C4	11
CHAT	1
ADRA2A	1
EBF3	16
BEND7	9
VIM	10
IFIT1B	2
NMT2	12
VCL	22
MARCH5	6
AKR1C1	9
ABI1	12
IL2RA	8
DNTT	11
HMX2	2
ADK	11
WASHC2C	31
FAM170B	2
C10orf113	2
C10orf142	3
AS3MT	11
PLAC9	4
BLNK	17
WAC	14
DNA2	21
ZNF485	5
CYP17A1	8
NPS	3
DOCK1	52
DUSP5	4
ASAH2	20
SKIDA1	4
CPN1	9
FAM241B	4
CXCL12	4
BAMBI	3
RRP12	35
CYP2E1	11
FRAT1	1
CUEDC2	9
VDAC2	11
DNAJB12	8
CACUL1	9
HTR7	4
PLA2G12B	4
HACD1	7
MRPL43	14
UROS	10
PRKCQ	18
DNMBP	17
RASSF4	11
ZNF438	8
PTPRE	21
MAP3K8	9
CLRN3	3
SFXN2	12
DYDC1	8
BORCS7	5
ARL5B	6
CDC123	13
INSYN2	6
WASHC2A	31
ACTR1A	10
PFKP	22
MTG1	12
PARG	19
DHX32	11
TECTB	11
GLRX3	12
MBL2	4
CFAP46	58
SYCE1	13
MCU	8
PAOX	7
MKX	7
RAB18	8
SAMD8	6
UCN3	2
ARHGAP21	26
TUBAL3	4
BAG3	4
SMC3	29
PPP1R3C	2
ANKRD1	9
LYZL2	5
SEC61A2	12
GAD2	16
HABP2	13
FAM45A	9
PROSER2	4
ECD	9
ZNF503	2
KIF20B	33
C10orf53	3
ZDHHC6	11
ACSL5	21
C10orf82	6
IFIT2	5
DRGX	6
FOXI2	2
FGF8	6
DNAJC9	14
A1CF	15
CC2D2B	7
IFIT5	2
NFKB2	23
VAX1	3
ZNF511-PRAP1	8
CTNNA3	18
ASCC1	13
NOLC1	13
PTPN20	10
KAZALD1	5
VTI1A	8
BNIP3	6
VENTX	3
PNLIPRP1	13
REEP3	8
DYDC2	8
MALRD1	40
WBP1L	4
FGFBP3	2
PRDX3	7
FAM149B1	14
POLL	9
PPIF	6
GDI2	11
AL360181.3	7
AGAP5	8
CALML5	1
GBF1	40
SPOCK2	11
SEMA4G	14
KNDC1	30
JMJD1C	26
ADGRA1	16
EGR2	2
HPS6	1
LIPA	10
MGMT	5
NET1	12
PDZD7	17
ST8SIA6	8
NRBF2	4
SEPHS1	9
ADO	1
MKI67	15
ZNF511	8
ELOVL3	4
DUSP13	4
CHST3	3
FRMD4A	25
GATA3	6
IFIT1	2
C10orf71	3
SLF2	19
TRDMT1	11
IDI1	5
IDI2	5
GTPBP4	17
PSAP	14
TMEM273	7
ZNF239	2
ANXA11	17
AKR1E2	10
ZNF518A	6
DHTKD1	17
RPS24	5
DDIT4	3
PANK1	7
EMX2	3
MYOZ1	6
POLR3A	31
RBP3	4
FRAT2	1
C10orf95	2
NKX6-2	3
INPP5A	16
FAM204A	9
ARMC4	20
ZMIZ1	25
AGAP9	8
FAM25G	3
STK32C	12
ZNF488	2
GDF10	3
LZTS2	4
PITX3	4
XPNPEP1	21
PPRC1	14
FUOM	6
FAM208B	21
ASB13	6
DNAJC12	5
PGAM1	4
IL15RA	8
SFTPA1	6
PITRM1	27
HERC4	26
TLX1	3
ANXA8	12
ALDH18A1	18
ADAM12	23
ECHS1	8
RAB11FIP2	6
CELF2	14
LBX1	2
PRTFDC1	9
THNSL1	3
ENKUR	6
PSD	17
GPR158	11
FBXL15	4
MICU1	12
LRRC27	11
TMEM236	4
TCTN3	14
TMEM218	5
VPS37C	5
APOA1	4
NXPE4	6
KRTAP5-7	1
HPS5	23
CLDN25	1
SLC5A12	15
TAF6L	11
GRK2	21
KDELC2	8
ABTB2	17
DRAP1	7
FOSL1	4
LBHD1	4
SIPA1	16
AP000646.1	8
PLEKHB1	8
POU2F3	13
CEP164	9
CADM1	12
CHRM1	2
CCDC81	15
MMP1	10
SLC15A3	8
MS4A4E	5
TMEM223	11
OR8G5	1
CTNND1	4
PGA4	9
DCUN1D5	8
FAM168A	9
SLC3A2	12
EI24	11
ACRV1	4
HEPACAM	7
CSRP3	7
MAPK8IP1	12
PRPF19	16
AC068580.4	3
NNMT	5
PPP1R32	14
SDHAF2	4
IGSF22	3
SLC37A2	19
CREBZF	1
APOA4	3
SLC6A5	16
DPAGT1	11
MUS81	11
NLRP14	12
IFT46	13
SPATA19	7
CD3E	9
TCP11L1	10
RPUSD4	7
VPS11	16
SRPRA	14
NRIP3	7
OR5A1	2
CCDC73	11
FADD	2
MAJIN	11
UBQLN3	2
PAFAH1B2	6
AIP	6
SF1	13
SLC22A24	10
SLC22A8	11
ZPR1	14
BUD13	10
SLC22A25	9
CABP4	1
TMEM134	7
TMEM216	5
UEVLD	12
ELF5	7
C11orf87	2
CAVIN3	2
FXYD2	11
MCAM	16
ETS1	10
CYB5R2	9
OR4C13	1
OR52B2	1
WEE1	11
SPON1	16
ZNF705E	5
MMP13	10
IFITM10	3
KRTAP5-5	1
MS4A10	8
MS4A15	7
TMEM123	5
SLC22A12	10
CPSF7	10
CDK2AP2	4
HIKESHI	5
DUSP8	7
SPA17	4
OR8D2	1
ZBTB3	2
THY1	4
ALX4	4
PICALM	20
MS4A2	7
ANKRD13D	15
USP2	13
MS4A4A	5
CEP126	11
OR4D5	1
OR6T1	1
OR10S1	1
OR10G4	3
OR10G9	1
OR10G8	1
OR10G7	2
CCDC83	12
ACCS	15
APIP	7
PDHX	7
PCF11	16
LMO1	4
UCP3	7
ANKRD42	11
VWA5A	19
ARHGAP32	22
MDK	5
EXT2	14
ESRRA	7
CCDC90B	9
TRMT112	4
TMEM132A	11
TMEM109	4
CD5	11
ROBO4	18
ARHGEF17	21
RPS6KB2	15
CHST1	4
PTGDR2	2
P2RY6	3
ESAM	7
REXO2	7
DLG2	28
SCN3B	6
C11orf42	3
CSKMT	3
FANCF	1
ST3GAL4	10
MS4A12	7
P2RY2	3
TBRG1	9
MS4A5	5
ANGPTL5	9
TMEM179B	5
MRGPRX3	3
PGR	8
UCP2	8
ADM	3
PRSS23	2
NXPE2	6
FEZ1	12
PGA3	9
PGA5	9
PKNOX2	13
HEPN1	7
TMEM126B	5
KRTAP5-10	1
NADSYN1	21
ZP1	12
PTPRCAP	2
MMP8	10
MMP20	10
PGM2L1	14
VSIG2	7
ZDHHC13	17
CHEK1	12
NELL1	21
AASDHPPT	6
EML3	22
CARS	23
ABCC8	39
CDHR5	16
INCENP	19
BCO2	6
PATL1	19
DRD2	8
CELF1	16
OR4D10	3
BBS1	17
RSF1	16
AC104389.4	3
RAPSN	8
ZFP91-CNTF	11
NR1H3	11
RAG2	2
C11orf74	6
ANO1	26
RAG1	2
PRG2	4
SLC43A3	4
HBB	3
C11orf80	17
PITPNM1	24
FAM86C1	5
CD6	13
NXPE1	6
CORO1B	2
CRY2	12
NRGN	4
KRTAP5-1	1
HTR3A	8
AP003108.2	4
PPP1CA	9
BRSK2	20
MS4A6E	4
OR8D1	3
ANO3	27
SAAL1	12
RNF141	6
STARD10	7
MUC15	27
OOSP2	4
LYVE1	6
MRVI1	21
ARAP1	35
SAA2	4
TMEM126A	5
MRGPRX2	2
NXF1	22
C11orf45	4
FCHSD2	20
ACAD8	11
C11orf98	4
HSD17B12	11
NUP98	5
DGKZ	32
KRTAP5-4	1
NRXN2	23
BIRC2	9
YAP1	9
RAD9A	4
TBC1D10C	9
HARBI1	3
STX5	11
CFAP300	7
STT3A	18
APOC3	4
CCDC15	16
CCDC89	1
NTM	8
CAPN1	21
FSHB	3
C11orf40	4
OR8K5	1
TBX10	8
ARFGAP2	16
OR5D16	1
NDUFC2-KCTD14	2
STIM1	12
POLD3	12
NDUFV1	11
SYT8	9
GPR152	1
CKAP5	44
RASGRP2	17
RELT	11
ROBO3	28
RBM7	7
ARHGAP1	13
DHCR7	9
MRGPRX1	1
WDR74	12
SAA1	4
CARNS1	9
PRDX5	6
EHF	9
GIF	9
LDHAL6A	7
TSG101	10
TCN1	9
GLB1L3	20
FZD4	2
SLC22A6	10
MMP12	10
MMP27	10
C11orf71	2
MS4A13	7
SIK3	24
CABP2	7
C11orf94	3
PEX16	11
KRTAP5-11	1
KRTAP5-9	1
MOB2	5
MS4A8	7
SPTY2D1	6
PPME1	14
SSH3	14
P4HA3	14
SHANK2	11
C2CD3	33
TP53I11	9
AMBRA1	17
RPS6KA4	17
TSPAN18	9
USP28	25
MS4A7	7
SAA4	4
SAA2-SAA4	4
FIBIN	1
BBOX1	9
TMEM45B	6
OR8B4	1
OR8B8	3
TRPC6	13
MS4A6A	8
OR8B2	2
OR8B12	1
OR8B3	2
OR8A1	1
TMX2-CTNND1	8
ZDHHC5	12
MMP3	10
MMP10	10
EED	13
KRTAP5-2	1
MS4A1	7
POLR2G	8
OR8G1	3
OR8D4	2
TP53AIP1	4
ZNF202	8
LRRN4CL	2
HNRNPUL2-BSCL2	24
RIC3	6
MUC5B	49
TUB	13
DDX10	18
NLRP10	2
UBXN1	8
PRDM10	22
BIRC3	9
SLC22A11	10
PANX3	4
MRGPRX4	1
SLC22A10	10
PYGM	20
ME3	15
KRTAP5-8	1
E2F8	13
SLC35C1	2
KRTAP5-6	1
KRTAP5-3	1
ZBTB16	7
MRPL16	4
ATG16L2	18
OR56B4	1
FBXO3	11
TPH1	10
OR4C3	1
TESMIN	10
MSANTD2	4
KCNE3	3
ZNF408	5
AP003419.1	4
POLD4	4
TMEM225	4
MUC2	49
EXPH5	6
CNGA4	6
CCKBR	5
GRAMD1B	21
OR10A6	4
OR10A3	2
C11orf96	1
ALKBH3	10
FOLR3	5
CASP1	9
IGF2	5
TIMM8B	4
SLC43A1	15
OR52E4	2
RTN4RL2	3
GRM5	9
LRRC56	14
DDIAS	6
LRRC4C	2
CTSC	7
GDPD4	16
AP000781.2	4
HBD	4
SLC22A18	11
SCN4B	5
SLC22A18AS	3
RAB3IL1	10
VSTM5	4
SCN2B	4
RAB38	3
MRPL23	5
GLYAT	5
KMT5B	11
ELP4	12
C11orf52	4
HSPB2-C11orf52	2
HSPB2	2
CRYAB	2
GLYATL2	6
RAB30	6
OR9Q1	1
UNC93B1	11
SPINDOC	6
ACER3	11
ACY3	8
OR5F1	1
TMPRSS13	13
OR5D14	1
OR5D13	1
OR4C11	4
BDNF	3
MRE11	20
PLA2G16	4
SYT7	10
DNAJB13	8
KCNJ5	4
MUC5AC	49
OVCH2	16
OR5P2	1
FXYD6	8
SORL1	48
SC5D	5
CCDC153	6
OR56A3	4
ART1	5
ART5	4
TRIM64C	6
CAPRIN1	19
LMO2	6
GAS2	1
HINFP	10
CREB3L1	12
C1QTNF5	3
KCNJ1	2
INTS5	2
C11orf65	63
OTOG	55
GAL	6
MTCH2	13
OAF	4
TRIM77	6
CWF19L2	18
NKAPD1	6
ASRGL1	7
PHRF1	18
ARL2-SNX15	5
DIXDC1	20
MAML2	5
MRPL11	5
NPAS4	8
OR56B1	1
LRP5	23
SLC29A2	12
ATG13	18
TMEM86A	3
MS4A14	7
ZW10	16
TTC9C	3
APBB1	15
NAT10	29
B3GAT3	5
PTH	3
ARCN1	10
VWCE	20
CTSD	9
CCDC86	4
F2	14
SYT13	6
CD82	10
MS4A3	7
AMPD3	15
LDHC	8
AP2A2	22
NPAT	18
MAP3K11	10
OR4S1	1
NCR3LG1	5
RBMXL2	1
HTATIP2	6
CD59	4
AP5B1	2
HBG1	3
JAML	10
OR52J3	1
CALCA	4
OR1S2	1
TENM4	34
CNIH2	6
ZBTB44	10
KCNA4	2
SERPINH1	5
OR5J2	1
IL10RA	7
C11orf53	4
LIN7C	5
MRGPRD	1
HPX	10
OR51V1	1
MACROD1	11
AP000721.1	2
PRG3	6
PATE4	3
PTDSS2	12
FAU	5
IFITM5	2
C11orf54	9
MYEOV	3
MED17	12
AMOTL1	13
AC084337.2	3
ALG8	13
RRM1	19
ACTN3	21
GNG3	3
SBF2	40
OR5P3	2
FAM160A2	12
DSCAML1	33
SWAP70	12
LUZP2	12
FOLH1	19
SLC17A6	12
MRGPRG	1
ARHGEF12	41
PLCB3	32
PPP1R14B	4
TMEM136	3
LTBP3	28
AP002373.1	7
HTR3B	9
CCDC88B	27
KCNK4	6
TOLLIP	6
TMX2	8
OR4A47	1
BSX	3
NUCB2	14
ALKBH8	12
CARD16	3
SCT	4
PARVA	13
OR10V1	1
RHOD	5
MMP7	6
PRDM11	8
CD44	18
PTPN5	15
BARX2	4
AP001931.1	4
SART1	20
RELA	11
COA4	2
FXYD6-FXYD2	11
PDZD3	6
BAD	3
KIRREL3	17
ANO5	22
TALDO1	8
TRIM64B	6
CYB561A3	7
TMEM41B	7
FKBP2	6
DDB1	27
PRMT3	16
DDX6	14
BTBD10	8
CRTAM	10
UBASH3B	14
TKFC	18
OSBPL5	22
BACE1	9
MSANTD4	3
OVOL1	4
TTC36	3
TMEM80	5
DRD4	4
RNASEH2C	4
SDHD	4
PCSK7	17
B3GAT1	6
CAT	13
CBL	16
MUC6	33
PGAP2	33
KCNC1	4
SERGEF	11
ATM	63
CTSW	10
ABCG4	15
GPR137	3
BSCL2	24
ACCSL	14
OR4C12	1
PAAF1	12
OR52L1	1
EHBP1L1	19
GTF2H1	15
SCYL1	18
TRIM49	8
AP002990.1	10
STX3	1
POLA2	18
TRIM5	8
C11orf16	7
RCE1	8
RIN1	10
CYP2R1	5
SIAE	10
NFRKB	25
SPTY2D1OS	6
GLB1L2	19
OR6X1	1
EIF3F	10
SYTL2	19
OR56A1	1
OR56A5	1
CCDC179	4
KCNK7	3
HSPA8	9
GRIK4	21
OR4B1	1
OR4X2	1
OR4X1	1
ACAT1	12
RAB6A	8
CUL5	19
FAR1	12
SLN	3
SYT9	7
ARNTL	20
ATP5MG	3
FLI1	9
PCNX3	35
RAB39A	2
PPFIBP2	24
API5	14
PNPLA2	10
TMEM151A	2
SLCO2B1	14
ALG9	19
APLNR	1
ADAMTS8	9
MTNR1B	2
SYVN1	4
OR8U1	1
CCS	8
POU2AF1	5
XRRA1	6
CD81	8
OR4C6	1
ST5	23
OR6M1	1
MFRP	3
HNRNPUL2	14
THYN1	7
SVIP	4
CHID1	13
GANAB	25
LMNTD2	14
TTC12	21
PPP2R5B	14
PRR5L	10
PATE3	3
FDXACB1	5
RTN3	9
OR5R1	1
TRIM21	7
PIWIL4	1
FUT4	1
MAP4K2	32
GDPD5	17
COPB1	22
NDUFC2	3
DEUP1	14
ATL3	13
NLRX1	10
TRIM49B	8
USH1C	27
MRGPRE	2
SLC35F2	8
ELMOD1	12
UBE4A	20
NCAPD3	35
AP001267.5	3
INPPL1	28
PLEKHA7	23
OR2AG2	2
OR2AG1	2
OR6A2	2
ZNF214	3
DCPS	6
ZNF215	7
EPS8L2	12
TIRAP	5
OR10A4	1
OR10A5	1
OR2D2	1
OR2D3	1
OR10A2	2
PHOX2A	3
SAC3D1	2
DLAT	14
CDC42EP2	2
TRIM6	14
MTMR2	15
GPHA2	4
FAM111B	4
PAK1	16
TMEM135	15
OR5B17	1
PDE3B	16
NEU3	3
IFITM3	2
OR56A4	1
AP001458.2	2
MYOD1	3
TBCEL	8
PDE2A	31
JHY	9
LARGE2	14
BLID	1
KCNJ11	1
ZNF143	16
FNBP4	17
AGBL2	19
EFEMP2	11
PPP6R3	25
C1QTNF4	2
KIAA1549L	20
TUT1	17
SLC25A45	7
HRAS	5
OR52I2	1
OR5T1	3
PGGHG	14
KDM4E	1
OR5W2	1
CEND1	2
TIMM10B	3
OR4P4	2
OR4C16	1
OR4C15	1
OR4A15	1
SIRT3	7
TRAPPC4	5
NAALAD2	19
SLC36A4	11
HRASLS5	6
GPR83	4
STK33	12
LGR4	18
DEFB108B	2
RPS3	7
SLC39A13	10
TRIM49C	8
LGALS12	9
IPO7	25
RNF214	15
GUCY1A2	9
RPS13	6
P2RX3	12
THAP12	5
ANO9	23
ILK	12
ZBED5	3
KDM4D	3
OR8J3	2
OR10AG1	1
OR52B4	1
TSKU	2
C11orf21	5
MYRF	27
RPL27A	5
OR4S2	2
CST6	3
KLHL35	6
CHORDC1	11
MRGPRF	3
PSMD13	11
RPS25	11
HRASLS2	4
RARRES3	4
KDM2A	21
SNX15	8
KBTBD4	7
ARRB1	16
OR52E8	1
HEPHL1	20
ATG2A	41
RNH1	9
WNT11	5
PATE1	5
MMP26	7
KBTBD3	3
DBX1	4
VPS51	10
AL049629.2	2
FOLR2	5
TREH	15
NECTIN1	6
C11orf86	2
CNTN5	25
OSBP	14
NDUFS3	4
AP000944.2	18
EIF3M	11
PHLDA2	2
PSMC3	12
ACP2	11
NAA40	8
TSGA10IP	8
OR52W1	1
CHRNA10	5
MRPL48	8
TECTA	24
PTPRJ	25
ZNF195	6
PHF21A	18
TMEM138	5
C2CD2L	11
